station_name;station_no;ts_id;ts_name;parametertype_name;stationparameter_name;from;to
Gauge - Buckshot Creek near Plevna;02KF017;54071042;234.MonthlyHistMin;River Discharge;Q;1993-01-01 00:00:00;2026-01-01 00:00:00
Gauge - Buckshot Creek near Plevna;02KF017;54072042;235.YearlyHistMin;River Discharge;Q;1993-01-01 00:00:00;2026-01-01 00:00:00
Gauge - Buckshot Creek near Plevna;02KF017;54073042;242.DailyHistMax;River Discharge;Q;1993-01-01 00:00:00;2025-01-01 00:00:00
Gauge - Buckshot Creek near Plevna;02KF017;54074042;243.WeeklyHistMax;River Discharge;Q;1993-01-01 00:00:00;2026-01-02 00:00:00
Gauge - Buckshot Creek near Plevna;02KF017;54075042;244.MonthlyHistMax;River Discharge;Q;1993-01-01 00:00:00;2026-01-01 00:00:00
Gauge - Buckshot Creek near Plevna;02KF017;54076042;245.YearlyHistMax;River Discharge;Q;1993-01-01 00:00:00;2026-01-01 00:00:00
Gauge - Buckshot Creek near Plevna;02KF017;54077042;290.CombinedDomain;River Discharge;Q;1993-04-01 00:00:00;2024-01-09 13:00:00
Gauge - Buckshot Creek near Plevna;02KF017;54078042;291.HourlyDomain;River Discharge;Q;2024-01-09 00:00:00;2024-01-09 13:00:00
Gauge - Buckshot Creek near Plevna;02KF017;54079042;292.DailyDomain;River Discharge;Q;2024-01-01 00:00:00;2024-01-09 00:00:00
Gauge - Buckshot Creek near Plevna;02KF017;54080042;294.MonthlyDomain;River Discharge;Q;2024-01-01 00:00:00;2024-02-01 00:00:00
Gauge - Carp River at Richardson;MVCA11;54081042;201.HourlyMean;River Discharge;Q;2017-03-02 00:00:00;2019-02-20 22:00:00
Gauge - Carp River at Richardson;MVCA11;54082042;202.DailyMean;River Discharge;Q;2017-03-02 00:00:00;2019-02-21 00:00:00
Gauge - Carp River at Richardson;MVCA11;54083042;203.WeeklyMean;River Discharge;Q;2017-02-27 00:00:00;2019-02-25 00:00:00
Gauge - Carp River at Richardson;MVCA11;54084042;204.MonthlyMean;River Discharge;Q;2017-03-01 00:00:00;2019-03-01 00:00:00
Gauge - Carp River at Richardson;MVCA11;54085042;205.YearlyMean;River Discharge;Q;2017-01-01 00:00:00;2020-01-01 00:00:00
Gauge - Carp River at Richardson;MVCA11;54086042;222.DailyHistMean;River Discharge;Q;2017-01-01 00:00:00;2020-01-01 00:00:00
Gauge - Carp River at Richardson;MVCA11;54087042;223.WeeklyHistMean;River Discharge;Q;2016-12-29 00:00:00;2020-01-02 00:00:00
Gauge - Carp River at Richardson;MVCA11;54088042;224.MonthlyHistMean;River Discharge;Q;2016-12-02 00:00:00;2020-01-02 00:00:00
Gauge - Carp River at Richardson;MVCA11;54089042;225.YearlyHistMean;River Discharge;Q;2016-03-02 00:00:00;2020-03-02 00:00:00
Gauge - Carp River at Richardson;MVCA11;54090042;232.DailyHistMin;River Discharge;Q;2017-01-01 00:00:00;2020-01-01 00:00:00
Gauge - Carp River at Richardson;MVCA11;54091042;233.WeeklyHistMin;River Discharge;Q;2016-12-29 00:00:00;2020-01-02 00:00:00
Gauge - Carp River at Richardson;MVCA11;54092042;234.MonthlyHistMin;River Discharge;Q;2016-12-02 00:00:00;2020-01-02 00:00:00
Gauge - Carp River at Richardson;MVCA11;54093042;235.YearlyHistMin;River Discharge;Q;2016-03-02 00:00:00;2020-03-02 00:00:00
Gauge - Carp River at Richardson;MVCA11;54094042;242.DailyHistMax;River Discharge;Q;2017-01-01 00:00:00;2020-01-01 00:00:00
Gauge - Carp River at Richardson;MVCA11;54095042;243.WeeklyHistMax;River Discharge;Q;2016-12-29 00:00:00;2020-01-02 00:00:00
